MID,FID,tlength,exp0,KID,BNUM,YBIRTH,YBIRTH_M,YMAR,YDIV,YSEP,YBIRTH_F,UD_year,JC_year,edH,edW
4036,4190,16,0,4043,1,1996,1978,1995,1999,1999,1974,9999,1986,0,0
5004,5171,23,1,0,99,9999,1965,1988,1999,1998,1946,9999,1986,0,0
5170,5003,29,0,5031,1,1983,1965,1982,9999,9999,1962,9999,1986,0,0
6030,6174,14,5,6035,1,2001,1972,1997,9999,9999,1973,9999,1986,1,1
6172,6006,34,0,6032,1,1980,1955,1977,9999,9999,1955,9999,1986,1,1
7034,7177,18,0,7046,1,1993,1974,1993,1997,1997,1970,1992,1981,0,0
7171,7005,32,1,7036,1,1980,1956,1979,2002,2000,1957,1992,1981,0,0
7175,7031,19,0,7045,1,1992,1973,1992,9999,9999,1973,1992,1981,0,0
10006,10176,25,1,10032,1,1987,1963,1986,2012,1998,1961,9999,1988,0,0
10177,10005,22,1,10033,1,1990,1964,1989,9999,1991,1958,9999,1988,0,0
11171,11003,33,1,0,99,9999,1955,1978,9999,9999,1953,1970,1980,0,0
14003,14173,20,13,14032,1,1992,1956,1991,9999,9999,1961,1970,1980,1,0
14172,14004,27,0,14030,1,1985,1966,1984,9999,9999,1963,1970,1980,0,0
16003,16170,33,0,16030,1,1980,1961,1978,2002,2001,1957,1970,1980,0,0
16004,16172,24,2,16033,1,1994,1966,1987,9999,9999,1958,1970,1980,0,0
16171,16005,29,0,16031,1,1982,1962,1982,9999,9999,1962,1970,1980,0,0
18170,18003,36,2,18037,1,1980,1955,1975,1994,1993,1956,1970,1980,0,0
18184,18030,15,1,18044,1,1999,1969,1996,9999,9999,1972,1970,1980,0,1
22173,22004,23,2,22031,1,1989,1965,1988,1993,1990,1964,1971,1982,0,0
39003,39173,26,0,0,99,9999,1967,1985,1988,1988,1965,9999,1983,0,0
39174,39030,19,0,39031,1,1995,1972,1992,9999,9999,1970,9999,1983,0,1
40004,40171,32,1,40031,1,1980,1961,1979,1994,1993,1962,1970,1977,0,0
40030,40172,22,0,40037,1,1990,1971,1989,1993,1992,1970,1970,1977,0,0
40170,40003,31,2,40032,1,1981,1961,1980,9999,9999,1960,1970,1977,0,0
41179,41004,32,0,41180,1,1981,1958,1979,9999,9999,1955,1992,1981,0,0
47004,47170,30,3,47034,1,1987,1960,1981,9999,9999,1960,1971,9999,0,1
47032,47176,16,0,47040,1,1997,1972,1995,9999,9999,1969,1971,9999,1,1
47171,47003,25,1,0,99,9999,1962,1986,9999,9999,1959,1971,9999,1,1
47173,47005,22,2,47037,1,1990,1968,1989,1998,1997,1964,1970,1980,1,1
50005,50170,20,8,50034,1,1993,1961,1991,9999,9999,1959,1970,1980,1,1
50171,50003,23,1,50032,1,1989,1960,1988,2011,2011,1959,9999,1986,0,1
51030,51170,23,0,51031,1,1988,1970,1988,1992,1991,1968,9999,1986,0,0
53004,53173,33,1,53030,1,1978,1958,1978,9999,9999,1958,9999,1983,0,0
53006,53172,32,1,53035,1,1984,1959,1979,1995,1993,1961,9999,1983,0,0
53170,53003,33,1,53031,1,1980,1959,1978,1998,1997,1957,1970,1987,0,0
53181,53010,25,1,53916,1,1987,1963,1986,9999,2006,1967,1972,1987,0,0
60030,60182,19,0,60040,1,2000,1970,1992,2013,2012,1961,9999,1996,1,1
60032,60181,21,2,60036,1,1991,1970,1990,9999,9999,1970,1971,1982,0,0
61005,61171,25,5,61032,1,1988,1956,1986,9999,9999,1957,9999,1996,1,1
61172,61003,16,1,61035,1,1996,1963,1995,9999,9999,1950,9999,1996,1,1
68175,68003,18,4,68030,1,1993,1969,1993,9999,9999,1966,1970,1980,0,0
75030,75171,21,1,0,99,9999,1968,1990,9999,9999,1960,1973,1981,0,0
84170,84003,35,1,84030,1,1976,1957,1976,9999,9999,1956,1973,1983,0,0
88030,88186,14,0,88037,1,2004,1978,1997,2007,2007,1976,9999,1996,0,0
88174,88005,28,1,88035,1,1987,1964,1983,2003,2003,1958,9999,1996,0,0
89005,89172,33,3,89032,1,1979,1957,1978,1988,1986,1955,9999,1996,0,0
89031,89179,16,0,89035,1,1996,1979,1995,9999,9999,1975,1971,1982,0,0
90171,90004,24,1,90030,1,1991,1963,1987,2011,2010,1963,9999,1996,1,0
91003,91170,23,0,91031,1,1993,1967,1988,9999,9999,1959,1970,1987,0,0
91171,91030,14,0,91033,1,2006,1977,1997,9999,9999,1975,1970,1987,1,1
96003,96170,31,1,96030,1,1982,1959,1980,9999,9999,1956,9999,1991,1,0
96005,96173,22,1,96033,1,1994,1965,1989,9999,9999,1964,9999,1991,0,0
96006,96175,14,1,96034,1,1999,1965,1997,9999,9999,1970,9999,1991,0,0
99171,99031,18,0,99032,1,1993,1974,1993,2001,2000,1976,1970,1977,0,0
106173,106003,21,0,106031,1,1990,1970,1990,1994,1993,1962,1972,1980,0,0
113030,113172,15,1,113032,1,2001,1973,1996,9999,9999,1972,9999,9999,0,1
117030,117171,19,0,117031,1,1993,1970,1992,2016,2016,1960,9999,1983,1,0
117172,117003,17,1,117033,1,1997,1971,1994,9999,9999,1967,9999,1983,1,1
121007,121171,30,0,121030,1,1985,1959,1981,9999,9999,1958,1972,1980,1,1
121170,121006,29,2,121032,1,1985,1956,1982,9999,9999,1957,1972,1980,1,1
121172,121005,27,0,121031,1,1984,1963,1984,9999,9999,1956,1972,1980,1,0
127004,127171,35,3,127033,1,1980,1954,1976,9999,9999,1952,1974,1982,1,0
128171,128003,27,1,0,99,9999,1963,1984,9999,9999,1960,1974,1982,0,0
128172,128004,24,1,128030,1,1990,1962,1987,9999,9999,1961,1972,1981,0,1
129033,129193,19,1,0,99,9999,1972,1992,9999,9999,1971,9999,1986,0,0
129036,129199,18,0,129040,1,1994,1974,1993,2000,1999,1966,9999,1986,0,0
