Age,Input,value,se,lb,ub
0,Mother's Time,0.4339568096567981,0.16424884939623963,0.14982172488900175,0.7524818613433301
1,Mother's Time,0.42017667659238417,0.1858444414041452,0.1651272047827383,0.8003421805661406
2,Mother's Time,0.39292664511467124,0.16831418492025588,0.12872765159795896,0.7210073277094691
3,Mother's Time,0.35794475364372735,0.17952369553316647,0.12709986412829544,0.6588032064144245
4,Mother's Time,0.2342038587115889,0.1001029783179439,0.07964766724584338,0.4357670828702266
5,Mother's Time,0.22905189697915979,0.10509678387072188,0.08517982773172297,0.45926116489230495
6,Mother's Time,0.19901426904882968,0.09261975669400731,0.06885003475755036,0.3916507565349435
7,Mother's Time,0.14697824300113568,0.06316081246380001,0.05176279729082728,0.25578296844704906
8,Mother's Time,0.14297061405493283,0.06944487489325782,0.050375876291057525,0.2910214992388028
9,Mother's Time,0.1351638220165413,0.07020137903401993,0.04325287896384612,0.2728457917523266
10,Mother's Time,0.13382869368752612,0.07997848877647598,0.04510930060545425,0.3165847450250223
11,Mother's Time,0.11551303877103505,0.0656666229289454,0.03565740538866849,0.23507930002121163
12,Mother's Time,0.09153542399849299,0.054780421158658124,0.028420373422141827,0.2119601446348682
13,Mother's Time,0.10012066779881802,0.059242956610878875,0.030749377653589025,0.21055049324198555
14,Mother's Time,0.0915224225611005,0.0569273576852054,0.02625280771501773,0.21959391856682947
15,Mother's Time,0.0806408288307773,0.057159878640103884,0.02091192920616852,0.20308255241796416
16,Mother's Time,0.07842970408932143,0.06008147377714833,0.01915491164985391,0.21050541969674713
17,Mother's Time,0.059791668255850756,0.04612413655196325,0.01218062477176532,0.1658463839964427
0,Father's Time,0.1672911056207078,0.06870377196915599,0.061764264865282414,0.29433750842499684
1,Father's Time,0.2256552139945347,0.10322533744889878,0.08325907228864726,0.40794573301561576
2,Father's Time,0.23037804230091036,0.11624211411127548,0.0858448740504852,0.4061994342672982
3,Father's Time,0.24135295027165146,0.10741394104863769,0.08651568740581712,0.4482120619065288
4,Father's Time,0.1659946331787652,0.07614925161865348,0.06153867904372526,0.29766635584091944
5,Father's Time,0.14848108398326024,0.07588558984738902,0.055226430928077865,0.3087703896627072
6,Father's Time,0.13995702926889358,0.0628430868785906,0.05139454646711277,0.25944591150471386
7,Father's Time,0.12267478448500728,0.05687529290680667,0.04217742898409382,0.24086780766245658
8,Father's Time,0.10898932119137422,0.05616062158818884,0.03939113869316914,0.21646096701700085
9,Father's Time,0.12101970935310882,0.0667700048587117,0.04159133961562907,0.25561078846107677
10,Father's Time,0.12409636827740138,0.0691050192093658,0.03978408822238089,0.26420948637263236
11,Father's Time,0.09121565601546026,0.05278174156444255,0.028175520434788864,0.19192757768182062
12,Father's Time,0.10876682425512041,0.06671732419878235,0.03463946619442562,0.2612941864040339
13,Father's Time,0.08730521271315386,0.05991374889137707,0.026262090109892715,0.20831449137516034
14,Father's Time,0.09168245808050836,0.05831238992507507,0.026319808624340073,0.219411687567179
15,Father's Time,0.0825825177229273,0.058701425815980965,0.020270784627125907,0.20266436857095294
16,Father's Time,0.07392486952425129,0.06419167666465816,0.016312052090669847,0.22853003136007227
17,Father's Time,0.06278094720836068,0.04376952554578009,0.012308032687610477,0.16193326536123231
