Age,sd,case
4,3.9453632878187808,Data
5,4.4785657325094785,Data
6,4.10955586007644,Data
7,4.399434376263637,Data
8,5.056457214576381,Data
9,6.121821829240098,Data
10,4.321287234348075,Data
11,4.392632255701604,Data
12,5.242324950311499,Data
13,5.802569787509433,Data
14,6.030044895474779,Data
15,6.496493404857434,Data
4,4.018464212923771,Model
5,4.629054286496421,Model
6,4.919281974605505,Model
7,5.094618072324002,Model
8,5.245990226150378,Model
9,5.378972410448269,Model
10,5.461256753305313,Model
11,5.5173847916773004,Model
12,5.587543302610406,Model
13,5.574850260951101,Model
14,5.611788592018794,Model
15,5.643380717217723,Model
