Age,Dgroup,value,case
4,1,9.222222222222221,Data
5,1,14.428571428571429,Data
6,1,19.636363636363637,Data
7,1,24.90740740740741,Data
8,1,30.097560975609756,Data
9,1,32.72727272727273,Data
10,1,36.50909090909091,Data
11,1,37.57142857142857,Data
12,1,39.14492753623188,Data
13,1,41.53333333333333,Data
14,1,43.18867924528302,Data
15,1,46.224489795918366,Data
4,2,11.25,Data
5,2,13.333333333333334,Data
6,2,21.22222222222222,Data
7,2,24.444444444444443,Data
8,2,28.88888888888889,Data
9,2,31.11111111111111,Data
10,2,35.46153846153846,Data
11,2,36.7,Data
12,2,37.8,Data
13,2,39.95,Data
14,2,40.07142857142857,Data
15,2,44.0,Data
4,3,6.5,Data
5,3,13.166666666666666,Data
6,3,19.625,Data
7,3,24.2,Data
8,3,27.0,Data
9,3,32.4,Data
10,3,34.06666666666667,Data
11,3,38.35294117647059,Data
12,3,36.0,Data
13,3,41.888888888888886,Data
14,3,42.25,Data
15,3,38.833333333333336,Data
4,1,9.500056567485009,Model
5,1,15.30331780479491,Model
6,1,20.682366390397256,Model
7,1,24.983436853002072,Model
8,1,28.94937663090751,Model
9,1,32.786040787623065,Model
10,1,36.08642488276845,Model
11,1,38.50253408953783,Model
12,1,40.565019105139896,Model
13,1,42.07148298628746,Model
14,1,42.979543197616685,Model
15,1,43.45584262658447,Model
4,2,9.321192052980132,Model
5,2,14.978549047963364,Model
6,2,20.259556268377438,Model
7,2,24.3682482840943,Model
8,2,28.224321538990036,Model
9,2,31.775689724110357,Model
10,2,34.95297951582868,Model
11,2,37.26169749727965,Model
12,2,39.23096446700507,Model
13,2,40.54388597149288,Model
14,2,41.477598566308245,Model
15,2,41.870087336244545,Model
4,3,7.899653979238754,Model
5,3,13.444284341978866,Model
6,3,18.67568675686757,Model
7,3,23.065780014378145,Model
8,3,27.143490655685778,Model
9,3,31.053264604810998,Model
10,3,34.26305970149254,Model
11,3,36.52711606690319,Model
12,3,38.63768115942029,Model
13,3,40.13379942140791,Model
14,3,41.141520748380906,Model
15,3,41.50603573153066,Model
