Age,Dgroup,value,case
4,2,2.0277777777777786,Data
5,2,-1.095238095238095,Data
6,2,1.5858585858585847,Data
7,2,-0.46296296296296546,Data
8,2,-1.208672086720867,Data
9,2,-1.616161616161616,Data
10,2,-1.047552447552448,Data
11,2,-0.8714285714285666,Data
12,2,-1.3449275362318858,Data
13,2,-1.5833333333333286,Data
14,2,-3.11725067385445,Data
15,2,-2.224489795918366,Data
4,3,-2.7222222222222214,Data
5,3,-1.2619047619047628,Data
6,3,-0.011363636363636687,Data
7,3,-0.707407407407409,Data
8,3,-3.097560975609756,Data
9,3,-0.32727272727272805,Data
10,3,-2.442424242424238,Data
11,3,0.7815126050420176,Data
12,3,-3.144927536231883,Data
13,3,0.3555555555555543,Data
14,3,-0.9386792452830193,Data
15,3,-7.39115646258503,Data
4,2,-0.5599922028105446,Model
5,2,-0.7366755631352468,Model
6,2,-0.8814492601313475,Model
7,2,-1.0469268716857876,Model
8,2,-1.0825350325350307,Model
9,2,-1.1864755370183886,Model
10,2,-1.1613185145611027,Model
11,2,-1.2796411030519792,Model
12,2,-1.3381150612927684,Model
13,2,-1.3245041952707837,Model
14,2,-1.4733609906970528,Model
15,2,-1.142470498801984,Model
4,3,-1.35984606191243,Model
5,3,-1.6365822371637524,Model
6,3,-1.7474106640541507,Model
7,3,-1.9097835993878576,Model
8,3,-1.8702289119814886,Model
9,3,-1.8627050080402832,Model
10,3,-1.9917974559171796,Model
11,3,-1.9003569421785969,Model
12,3,-2.0379099590089425,Model
13,3,-2.0481999852320243,Model
14,3,-2.197018570991723,Model
15,3,-2.1811723278677633,Model
